PDF,Entities,Relationships
35.pdf,"[('ITF', 'ORG'), ('Airport personnel', 'PER'), ('ICAA', 'ORG'), ('KTA Internal Audit Department', 'ORG'), ('UNMIK', 'ORG'), ('Iceland', 'LOC'), ('Pristina Airport', 'LOC'), ('KTA rules', 'MISC'), ('UNMIK procurement rules', 'MISC'), ('agreement', 'MISC')]","[('ITF', 'Airport personnel', 'interviewed', 'NE'), ('Airport personnel', 'ICAA', 'uncertain about', 'NE'), ('KTA Internal Audit Department', 'KTA rules', 'confirmed compliance with', 'PV'), ('KTA Internal Audit Department', 'UNMIK procurement rules', 'confirmed compliance with', 'PV'), ('KTA Internal Audit Department', 'agreement', 'confirmed compliance with', 'PV'), ('UNMIK', 'ICAA', 'agreement with', 'NE'), ('UNMIK', 'Pristina Airport', 'obtained insurance for', 'NE'), ('ICAA', 'Pristina Airport', 'provided assistance for', 'NE'), ('ICAA', 'Iceland', 'located in', 'NE')]"
36.pdf,"[('Manager', 'PER'), ('ITF', 'ORG'), ('Pristina Airport', 'LOC'), ('Insurance Company 1', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('UNMIK', 'ORG'), ('Department of Justice', 'ORG')]","[('Manager', 'ITF', 'investigated by', 'NE'), ('Pristina Airport', 'Insurance Company 1', 'insured by', 'NE'), ('Insurance Company 1', 'Manager', 'contract with', 'NE'), ('UNMIK', 'Manager', 'violated regulations of', 'NG'), ('Kosovo Trust Agency', 'Pristina Airport', 'oversees', 'NE'), ('Pristina Airport', 'Manager', 'responsible for', 'NE'), ('Manager', 'Department of Justice', 'case referred to', 'NE')]"
38.pdf,"[('Vendor 1', 'ORG'), ('Vendor 1 Manager', 'PER'), ('Vendor 2', 'ORG'), ('Procurement Officer 1', 'PER'), ('Finance Officer', 'PER'), ('Pristina Airport', 'ORG'), ('Pristina Airport Official', 'PER'), ('Committee member 1', 'PER'), ('Committee member 2', 'PER'), ('Vendor 2 Employee', 'PER'), ('Vendor 2 Manager', 'PER'), ('Vendor 2 Director', 'PER'), ('Vendor 3', 'ORG')]","[('Vendor 1', 'Procurement Officer 1', 'complained about', 'NG'), ('Vendor 1 Manager', 'Procurement Officer 1', 'accused', 'NG'), ('Vendor 1 Manager', 'Vendor 2', 'competitor of', 'NE'), ('Vendor 1 Manager', 'Procurement Officer 1', 'alleged bribery', 'NG'), ('Vendor 1 Manager', 'Finance Officer', 'alleged bribery', 'NG'), ('Vendor 1 Manager', 'Vendor 2', 'alleged bribery by', 'NG'), ('Procurement Officer 1', 'Pristina Airport', 'works at', 'NE'), ('Finance Officer', 'Pristina Airport', 'works at', 'NE'), ('Procurement Officer 1', 'Vendor 2', 'favoured', 'NG'), ('Procurement Officer 1', 'Committee member 1', 'replaced', 'NE'), ('Procurement Officer 1', 'Committee member 2', 'replaced with', 'NE'), ('Finance Officer', 'Procurement Officer 1', 'nominated by', 'NE'), ('Finance Officer', 'Pristina Airport Official', 'nominated by', 'NE'), ('Pristina Airport Official', 'Vendor 1', 'awarded contract to', 'NE'), ('Vendor 1 Manager', 'Vendor 2', 'heard rumors about', 'NG'), ('Vendor 2 Employee', 'Vendor 2', 'works at', 'NE'), ('Vendor 2 Manager', 'Vendor 2', 'works at', 'NE'), ('Vendor 2 Director', 'Vendor 2', 'works at', 'NE')]"
39.pdf,"[('Pristina Airport', 'LOC'), ('UNMIK', 'ORG'), ('Civil Administration Pillar', 'ORG'), ('DOTI', 'ORG'), ('Official 1', 'PER'), ('Official 2', 'PER'), ('Transport Sector', 'ORG'), ('Airport Engineer 1', 'PER'), ('Airport Engineer 2', 'PER'), ('Airport Engineer 3', 'PER'), ('Consultant', 'PER'), ('Consulting Firm', 'ORG'), ('armed forces', 'MISC')]","[('Pristina Airport', 'Civil Administration Pillar', 'administered by', 'NE'), ('Official 1', 'UNMIK', 'works at', 'NE'), ('Official 2', 'UNMIK', 'works at', 'NE'), ('Civil Administration Pillar', 'UNMIK', 'part of', 'NE'), ('DOTI', 'Civil Administration Pillar', 'supervised by', 'NE'), ('Official 1', 'DOTI', 'works at', 'NE'), ('DOTI', 'Transport Sector', 'renamed', 'NE'), ('Transport Sector', 'UNMIK', 'part of', 'NE'), ('Official 1', 'UNMIK', 'left', 'NE'), ('Official 2', 'DOTI', 'recruited by', 'NE'), ('Official 2', 'Official 1', 'reports to', 'NE'), ('Airport Engineer 1', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 2', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 3', 'armed forces', 'seconded from', 'NE'), ('Consultant', 'Consulting Firm', 'works at', 'NE')]"
4.pdf,"[('Vendor 1', 'ORG'), ('Peja', 'LOC'), ('Vendor 2', 'ORG'), ('Procurement Officer', 'PER'), ('Evaluation Committee', 'ORG'), ('UNMIK', 'ORG'), ('Official 1', 'PER'), ('Official 2', 'PER'), ('DOTI', 'ORG'), ('Airport Engineer 1', 'PER'), ('Airport Engineer 2', 'PER'), ('Airport Engineer 3', 'PER'), ('Consultant', 'PER'), ('Consulting Company', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('KTA', 'ORG'), ('Pillar II', 'ORG'), ('Pillar IV', 'ORG'), ('Divisional Manager', 'PER'), ('PEAP Official', 'PER'), ('Official 3', 'PER'), ('Pristina International Airport', 'LOC'), ('KFOR', 'ORG'), ('ICAO', 'ORG'), ('Vendor 3', 'ORG'), ('Security Official', 'PER'), ('Investigation Task Force', 'ORG'), ('ITF', 'ORG'), ('Public Enterprise Airport Pristina', 'ORG'), ('PEAP', 'ORG'), ('Kosovo Force', 'ORG'), ('United Nations', 'ORG'), ('UN', 'ORG'), ('Pristina Airport', 'MISC'), ('Kosovo', 'MISC')]","[('Vendor 1', 'Peja', 'has manufacturer in', 'NE'), ('Vendor 1', 'Evaluation Committee', 'rejected by', 'NG'), ('Vendor 2', 'Evaluation Committee', 'rejected by', 'NG'), ('Procurement Officer', 'Evaluation Committee', 'member of', 'NE'), ('Procurement Officer', 'Evaluation Committee', 'lack of English explanation to', 'NG'), ('UNMIK', 'Pillar II', 'includes', 'NE'), ('Official 1', 'UNMIK', 'left', 'NE'), ('Official 2', 'DOTI', 'recruited by', 'NE'), ('Official 2', 'Official 1', 'reports to', 'NE'), ('Airport Engineer 1', 'UN', 'seconded from', 'NE'), ('Airport Engineer 2', 'UN', 'seconded from', 'NE'), ('Airport Engineer 3', 'UN', 'seconded from', 'NE'), ('Consultant', 'Consulting Company', 'from', 'NE'), ('Kosovo Trust Agency', 'Pillar II', 'responsibility passed from', 'NE'), ('Kosovo Trust Agency', 'Pillar IV', 'responsibility passed to', 'NE'), ('Divisional Manager', 'PEAP Official', 'superior to', 'NE'), ('Divisional Manager', 'Official 3', 'superior to', 'NE'), ('PEAP Official', 'Security Official', 'received request from', 'NE'), ('PEAP Official', 'Divisional Manager', 'reports to', 'NE'), ('Security Official', 'Divisional Manager', 'instructed by', 'NE'), ('Vendor 3', 'Pristina International Airport', 'provided uniforms to', 'PV'), ('Investigation Task Force', 'ITF', 'same as', 'NE'), ('ITF', 'Pristina Airport', 'obtained documents from', 'NE'), ('ITF', 'Pillar IV', 'obtained documents from', 'NE'), ('Public Enterprise Airport Pristina', 'PEAP', 'same as', 'NE'), ('PEAP', 'KFOR', 'maintained in cooperation with', 'NE'), ('UNMIK', 'Kosovo', 'administers', 'NE'), ('UNMIK', 'Pristina International Airport', 'administers', 'NE'), ('Vendor 3', 'Evaluation Committee', 'rejected by', 'NG'), ('Vendor 1', 'Vendor 3', 'bid significantly lower than', 'NG'), ('Vendor 2', 'Vendor 3', 'bid significantly lower than', 'NG')]"
43.pdf,"[('Investigation Task Force', 'ORG'), ('Pristina Airport', 'LOC'), ('PEAP', 'ORG'), ('KFOR', 'ORG'), ('UNMIK', 'ORG'), ('United Nations', 'ORG')]","[('Investigation Task Force', 'Pristina Airport', 'investigated', 'NE'), ('PEAP', 'Pristina Airport', 'maintained', 'NE'), ('KFOR', 'Pristina Airport', 'maintained', 'NE'), ('UNMIK', 'Pristina Airport', 'administers', 'NE'), ('United Nations', 'UNMIK', 'mandated', 'NE')]"
44.pdf,"[('PEAP Official', 'PER'), ('Vendor 2 Representative', 'PER'), ('Vendor 1', 'ORG'), ('Airport Management', 'ORG'), ('Airport Engineer', 'PER'), ('Vendor 1 Sales Manager', 'PER'), ('PEAP', 'MISC'), ('FIDS supply', 'MISC'), ('FIDS', 'MISC'), ('Vendor 2', 'MISC'), ('FIDS cabling', 'MISC')]","[('PEAP Official', 'Vendor 2 Representative', 'requested support from', 'NE'), ('PEAP Official', 'PEAP', 'responsible for', 'NE'), ('Vendor 2 Representative', 'PEAP Official', 'acted on request of', 'NE'), ('Vendor 2 Representative', 'FIDS supply', 'supported procurement of', 'NE'), ('Vendor 1', 'FIDS', 'supplied', 'NE'), ('Vendor 2', 'FIDS cabling', 'tender winner for', 'NE'), ('Airport Engineer', 'Airport Management', 'suggested projects to', 'NE'), ('Vendor 1 Sales Manager', 'Vendor 1', 'works for', 'NE'), ('Vendor 1 Sales Manager', 'FIDS cabling', 'Airport contact for', 'NE')]"
45.pdf,"[('Pristina Airport', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('Evaluation Committee', 'ORG'), ('Vendor', 'ORG'), ('KTA Internal Auditor', 'PER'), ('KTA Official 1', 'PER'), ('KTA Official 2', 'PER'), ('Divisional Manager', 'PER')]","[('Pristina Airport', 'Vendor', 'contracted', 'NE'), ('Pristina Airport', 'Kosovo Trust Agency', 'managed by', 'NE'), ('Evaluation Committee', 'Vendor', 'awarded contract to', 'NE'), ('KTA Internal Auditor', 'Divisional Manager', 'reported to', 'NE'), ('Kosovo Trust Agency', 'Divisional Manager', 'employed by', 'NE'), ('Kosovo Trust Agency', 'KTA Official 1', 'employs', 'NE'), ('Kosovo Trust Agency', 'KTA Official 2', 'employs', 'NE'), ('Divisional Manager', 'Pristina Airport', 'approved contract for', 'NE')]"
47.pdf,"[('Airport Handling Services Department', 'ORG'), ('Airline', 'ORG'), ('Pristina Airport', 'LOC'), ('ITF Investigators', 'PER'), ('Kosovars', 'PER'), ('Airport General Services', 'ORG'), ('Passenger Handling Services', 'ORG'), ('Airport Pristina management', 'ORG'), ('Senior Official', 'PER'), ('auditing company', 'ORG'), ('UNMIK CIVPOL', 'ORG'), ('UK Immigration Department', 'ORG'), ('Airline Official 1', 'PER')]","[('Airport Handling Services Department', 'Airline', 'calculated charges for', 'NE'), ('Airline', 'Pristina Airport', 'flights to/from', 'NE'), ('ITF Investigators', 'Pristina Airport', 'investigated', 'NE'), ('Kosovars', 'Pristina Airport', 'returned to', 'NE'), ('Passenger Handling Services', 'Airport General Services', 'part of', 'NE'), ('Pristina Airport', 'Airport Pristina management', 'managed by', 'NE'), ('Senior Official', 'Pristina Airport', 'works at', 'NE'), ('auditing company', 'Pristina Airport', 'audited', 'NE'), ('UNMIK CIVPOL', 'Airline', 'escorts passengers with', 'NE'), ('UK Immigration Department', 'Airline', 'approves flights with', 'NE'), ('Airline Official 1', 'Pristina Airport', 'paid', 'NE')]"
49.pdf,"[('ITF investigators', 'ORG'), ('Border Boundary Police', 'ORG'), ('UNMIK Police Officer', 'PER'), ('Regional Crime Squad', 'ORG'), ('PEAP Official', 'PER'), ('Company 1', 'ORG'), ('Company 2', 'ORG'), ('Airport Engineer', 'PER'), ('KTA Procurement Specialist', 'PER'), ('Divisional Manager', 'PER'), ('Pristina Airport', 'LOC'), ('Company 1 Representative', 'PER'), ('ITF', 'MISC'), ('Border Police Investigations Unit', 'MISC')]","[('ITF investigators', 'Border Boundary Police', 'visited', 'NE'), ('ITF investigators', 'UNMIK Police Officer', 'interviewed', 'NE'), ('UNMIK Police Officer', 'Regional Crime Squad', 'referred to', 'NE'), ('PEAP Official', 'Company 1', 'referred to', 'NE'), ('PEAP Official', 'Company 2', 'received documents from', 'NE'), ('Airport Engineer', 'KTA Procurement Specialist', 'sent memo to', 'NE'), ('Divisional Manager', 'ITF', 'advised', 'NE'), ('Divisional Manager', 'UNMIK Police Officer', 'sent letter to', 'NE'), ('UNMIK Police Officer', 'Border Police Investigations Unit', 'served with', 'NE'), ('KTA Procurement Specialist', 'Company 1', 'met with', 'NE'), ('Company 1', 'Pristina Airport', 'contract for', 'NE')]"
5.pdf,"[('Executive Decision 2003/16', 'EVT'), ('Investigation Task Force', 'ORG'), ('Pristina Airport', 'LOC'), ('Pillar IV', 'ORG'), ('UNMIK', 'ORG'), ('Kosovo Force', 'ORG'), ('United Nations', 'ORG'), ('Security Council Resolution 1244', 'EVT'), ('UNMIK Regulation No 1/1999', 'EVT'), ('Civil Administration Pillar', 'ORG'), ('Official 1', 'PER'), ('Official 2', 'PER'), ('Department of Transport', 'ORG'), ('Transport Sector', 'ORG'), ('Airport Engineer 1', 'PER'), ('Airport Engineer 2', 'PER'), ('Airport Engineer 3', 'PER'), ('Consultant', 'PER'), ('Consulting Firm', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('Divisional Manager', 'PER'), ('PEAP Official', 'PER'), ('Air Traffic Control Services', 'ORG'), ('ICAO', 'ORG')]","[('Executive Decision 2003/16', 'Investigation Task Force', 'established', 'NE'), ('Investigation Task Force', 'Pristina Airport', 'investigated', 'NE'), ('Pillar IV', 'Pristina Airport', 'provided documents to', 'NE'), ('Pristina Airport', 'UNMIK', 'administered by', 'NE'), ('Kosovo Force', 'Pristina Airport', 'maintained', 'NE'), ('United Nations', 'Security Council Resolution 1244', 'passed', 'NE'), ('United Nations', 'UNMIK Regulation No 1/1999', 'passed', 'NE'), ('UNMIK', 'Pristina Airport', 'administered', 'NE'), ('Civil Administration Pillar', 'Pristina Airport', 'administered', 'NE'), ('Official 1', 'Department of Transport', 'supervised', 'NE'), ('Official 1', 'Official 2', 'supervised', 'NE'), ('Official 2', 'Department of Transport', 'worked at', 'NE'), ('Airport Engineer 1', 'Consulting Firm', 'seconded from', 'NE'), ('Airport Engineer 2', 'Consulting Firm', 'seconded from', 'NE'), ('Airport Engineer 3', 'Consulting Firm', 'seconded from', 'NE'), ('Consultant', 'Consulting Firm', 'works at', 'NE'), ('Kosovo Trust Agency', 'Pristina Airport', 'administered', 'NE'), ('Divisional Manager', 'Kosovo Trust Agency', 'works at', 'NE'), ('PEAP Official', 'Divisional Manager', 'reports to', 'NE'), ('Air Traffic Control Services', 'Divisional Manager', 'reports to', 'NE'), ('ICAO', 'Pristina Airport', 'regulates', 'NE')]"
51.pdf,"[('Official 1', 'PER'), ('Official 2', 'PER'), ('Airport Pristina', 'ORG'), ('Company', 'ORG'), ('Partner 1', 'PER'), ('ITF', 'ORG'), ('Company Representative', 'PER'), ('Finance Officer', 'PER'), ('Kosovo Criminal Code', 'ORG'), ('Department of Justice', 'ORG')]","[('Official 1', 'Airport Pristina', 'works at', 'NE'), ('Official 2', 'Airport Pristina', 'works at', 'NE'), ('Official 1', 'Company', 'committed fraud against', 'NG'), ('Official 2', 'Company', 'committed fraud against', 'NG'), ('Partner 1', 'Company', 'is partner of', 'NE'), ('Company Representative', 'Company', 'represents', 'NE'), ('Company Representative', 'Official 1', 'paid', 'NG'), ('Finance Officer', 'Airport Pristina', 'works at', 'NE'), ('Official 1', 'Kosovo Criminal Code', 'violated', 'NG'), ('Official 2', 'Kosovo Criminal Code', 'violated', 'NG'), ('Official 1', 'Department of Justice', 'charged by', 'NG'), ('Official 2', 'Department of Justice', 'charged by', 'NG'), ('ITF', 'Department of Justice', 'referred to', 'NE')]"
52.pdf,"[('Special Representative', 'PER'), ('United Nations', 'ORG'), ('Security Council', 'ORG'), ('Kosovo', 'LOC'), ('UNMIK', 'ORG'), ('Investigation Task Force', 'ORG'), ('Pristina Airport', 'LOC'), ('Kosovo Trust Agency', 'ORG'), ('European Union', 'ORG'), ('Provisional Institutions', 'ORG'), ('ITF Investigators', 'PER'), ('Staff Member 1', 'PER'), ('Company', 'ORG')]","[('Special Representative', 'United Nations', 'represents', 'NE'), ('Security Council', 'United Nations', 'part of', 'NE'), ('UNMIK', 'United Nations', 'mission of', 'NE'), ('Kosovo', 'UNMIK', 'in', 'NE'), ('Pristina Airport', 'Kosovo', 'in', 'NE'), ('Kosovo Trust Agency', 'Pristina Airport', 'controls', 'NE'), ('European Union', 'UNMIK', 'administers', 'NE'), ('Provisional Institutions', 'Kosovo', 'in', 'NE'), ('ITF Investigators', 'UNMIK', 'investigates for', 'NE'), ('Staff Member 1', 'Company', 'signatory for', 'NE'), ('Company', 'Pristina Airport', 'operates at', 'NE')]"
60.pdf,"[('Senior Official', 'PER'), ('UNMIL', 'ORG'), ('Liberia', 'LOC')]","[('Senior Official', 'UNMIL', 'works for', 'NE'), ('Senior Official', 'Liberia', 'business dealings in', 'NG'), ('UNMIL', 'Liberia', 'located in', 'NE')]"
63.pdf,"[('UNMIL', 'ORG'), ('Security Council', 'ORG'), ('Officer 1', 'PER'), ('Officer 2', 'PER'), ('MONUC', 'ORG'), ('IAD1/OIOS', 'ORG')]","[('UNMIL', 'Security Council', 'established by', 'NE'), ('Officer 1', 'UNMIL', 'worked at', 'NE'), ('Officer 1', 'MONUC', 'worked at', 'NE'), ('Officer 1', 'Officer 2', 'replaced by', 'NE'), ('Officer 2', 'UNMIL', 'worked at', 'NE'), ('IAD1/OIOS', 'UNMIL', 'conducted audit of', 'NE')]"
69.pdf,"[('UNON Official 1', 'PER'), ('UNON', 'ORG'), ('UN-SACCO', 'ORG'), ('UNICEF/Somalia', 'ORG'), ('UNON Management', 'ORG'), ('ID/OIOS', 'ORG'), ('ID/OIOS Investigators', 'PER'), ('UNICEF staff', 'PER'), ('Senior UNEP Manager', 'PER'), ('Administrative Officer', 'PER'), ('UNON staff', 'MISC'), ('UNON Official 2', 'MISC'), ('ID/OIOS Management', 'MISC'), ('UNICEF', 'MISC'), ('UN-SACCO management', 'MISC'), ('UN-SACCO staff', 'MISC')]","[('UNON Official 1', 'UNON', 'requested inquiry from', 'NE'), ('UNON staff', 'UN-SACCO', 'obtained loans from', 'NG'), ('UNON Official 2', 'UNON Management', 'submitted report to', 'NE'), ('UNICEF/Somalia', 'UN-SACCO', 'obtained loans from', 'NG'), ('UNON Management', 'UNON', 'concerned about', 'NG'), ('ID/OIOS Investigators', 'ID/OIOS Management', 'directed by', 'NE'), ('ID/OIOS Investigators', 'UNON', 'investigated', 'NE'), ('UNICEF staff', 'ID/OIOS', 'interviewed by', 'NE'), ('UNICEF staff', 'UNICEF', 'misused letterhead of', 'NG'), ('Senior UNEP Manager', 'UN-SACCO management', 'informed', 'NE'), ('Senior UNEP Manager', 'ID/OIOS', 'interviewed by', 'NE'), ('UN-SACCO staff', 'ID/OIOS Investigators', 'interviewed by', 'NE'), ('UNON staff', 'ID/OIOS Investigators', 'interviewed by', 'NE'), ('Administrative Officer', 'UN-SACCO', 'found fraud in', 'NG')]"
73.pdf,"[('UNON', 'ORG'), ('UNON/ITS Staff Member', 'PER'), ('UNPOS', 'ORG'), ('Secretary General', 'PER')]","[('UNON/ITS Staff Member', 'UNON', 'works at', 'NE'), ('UNON/ITS Staff Member', 'UNPOS', 'received money from', 'NE'), ('UNON', 'UNPOS', 'collaborates with', 'NE'), ('UNON', 'Secretary General', 'reports to', 'NE')]"
8.pdf,"[('Executive Decision No 2003/16', 'EVT'), ('Investigation Task Force', 'ORG'), ('Pristina Airport', 'LOC'), ('Yugoslavian law', 'ORG'), ('Public Enterprise Airport Pristina', 'ORG'), ('Military Units of the KFOR', 'ORG'), ('United Nations Security Council Resolution 1244', 'EVT'), ('UNMIK', 'ORG'), ('UNMIK Regulation No 1/1999', 'EVT'), ('Civil Administration Pillar', 'ORG'), ('Official 1', 'PER'), ('Official 2', 'PER'), ('Department of Transport and Infrastructure', 'ORG'), ('Transport Sector', 'ORG'), ('UNMIK Directorate of Infrastructure Affairs', 'ORG'), ('Airport Engineer 1', 'PER'), ('Airport Engineer 2', 'PER'), ('Airport Engineer 3', 'PER'), ('Consultant', 'PER'), ('Consulting Firm', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('Pillar IV', 'ORG'), ('Divisional Manager', 'PER'), ('PEAP Official', 'PER'), ('Air Traffic Control Services', 'ORG'), ('ICAO', 'ORG'), ('KFOR', 'ORG'), ('armed forces', 'MISC')]","[('Executive Decision No 2003/16', 'Investigation Task Force', 'established', 'NE'), ('Pristina Airport', 'Yugoslavian law', 'under', 'NE'), ('Public Enterprise Airport Pristina', 'Pristina Airport', 'maintained', 'NE'), ('Military Units of the KFOR', 'Public Enterprise Airport Pristina', 'cooperated with', 'NE'), ('United Nations Security Council Resolution 1244', 'UNMIK', 'mandated by', 'NE'), ('UNMIK Regulation No 1/1999', 'UNMIK', 'mandated by', 'NE'), ('UNMIK', 'Pristina Airport', 'administered', 'NE'), ('Civil Administration Pillar', 'Pristina Airport', 'administered', 'NE'), ('Official 1', 'Civil Administration Pillar', 'supervised by', 'NE'), ('Official 1', 'Department of Transport and Infrastructure', 'supervised', 'NE'), ('Department of Transport and Infrastructure', 'UNMIK Directorate of Infrastructure Affairs', 'known as', 'NE'), ('Official 1', 'UNMIK', 'left', 'NE'), ('Official 2', 'Department of Transport and Infrastructure', 'recruited by', 'NE'), ('Official 2', 'Official 1', 'reported to', 'NE'), ('Airport Engineer 1', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 2', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 3', 'armed forces', 'seconded from', 'NE'), ('Consultant', 'Consulting Firm', 'from', 'NE'), ('Kosovo Trust Agency', 'Pristina Airport', 'responsibility for', 'NE'), ('Pillar IV', 'Pristina Airport', 'responsibility for', 'NE'), ('Divisional Manager', 'Kosovo Trust Agency', 'appointed to', 'NE'), ('PEAP Official', 'Divisional Manager', 'under', 'NE'), ('Air Traffic Control Services', 'Divisional Manager', 'under', 'NE'), ('KFOR', 'Pristina Airport', 'jurisdiction over', 'NE'), ('Pristina Airport', 'ICAO', 'under', 'NE')]"
82.pdf,"[('DPKO Communications', 'ORG'), ('Technology Services', 'ORG'), ('CITS', 'ORG'), ('Mr. Cabrera', 'PER'), ('PD', 'ORG'), ('Chief of CITS', 'PER'), ('IBM', 'ORG'), ('Dell', 'ORG'), ('Compaq', 'ORG'), ('ITSD', 'ORG'), ('Mr. Bahel', 'PER'), ('Toshiba', 'ORG'), ('Sony', 'ORG'), ('Fujitsu', 'ORG'), ('NEC', 'ORG'), ('Mr. Kohli', 'PER'), ('Thunderbird LLC', 'ORG'), ('Telecommunications Consultants', 'ORG'), ('TCIL', 'ORG'), ('Office of Internal', 'ORG'), ('Oversight Services', 'ORG'), ('OIOS', 'ORG'), ('Independent Inquiry', 'ORG'), ('Committee', 'ORG'), ('Oil for Food', 'ORG'), ('Programme', 'ORG'), ('Alexander Yakovlev', 'PER'), ('Under Secretary', 'PER'), ('General of OIOS', 'ORG'), ('United Nations', 'ORG'), ('UN', 'ORG'), ('Organization', 'ORG'), ('Walter Cabrera', 'PER'), ('Headquarters Committee', 'ORG'), ('Contracts', 'ORG'), ('HCC', 'ORG'), ('IECS', 'ORG'), ('Ms. Jane Redfern', 'PER'), ('Letter of Intent', 'ORG'), ('LOI', 'ORG'), ('Sanjaya Bahel', 'PER'), ('LaCresta', 'ORG'), ('Independent Inquiry Committee', 'MISC'), ('DPKO', 'MISC'), ('Nishan Kohli', 'MISC')]","[('Mr. Cabrera', 'PD', 'worked at', 'NE'), ('CITS', 'PD', 'communicated with', 'NE'), ('Mr. Cabrera', 'PD', 'assigned to', 'NE'), ('Chief of CITS', 'PD', 'communicated with', 'NE'), ('PD', 'IBM', 'considered', 'NE'), ('PD', 'Dell', 'considered', 'NE'), ('PD', 'Compaq', 'considered', 'NE'), ('ITSD', 'Toshiba', 'recommended', 'NE'), ('ITSD', 'Sony', 'recommended', 'NE'), ('ITSD', 'Fujitsu', 'recommended', 'NE'), ('ITSD', 'NEC', 'recommended', 'NE'), ('CITS', 'PD', 'exchanged emails with', 'NE'), ('Mr. Cabrera', 'Compaq', 'considered', 'NE'), ('Mr. Cabrera', 'Dell', 'considered', 'NE'), ('Mr. Cabrera', 'IBM', 'considered', 'NE'), ('Mr. Cabrera', 'Toshiba', 'considered', 'NE'), ('Mr. Cabrera', 'Sony', 'considered', 'NE'), ('Mr. Cabrera', 'Fujitsu', 'considered', 'NE'), ('Mr. Cabrera', 'NEC', 'considered', 'NE'), ('PD', 'Mr. Cabrera', 'employed', 'NE'), ('Mr. Bahel', 'Thunderbird LLC', 'involved in', 'NG'), ('Walter Cabrera', 'OIOS', 'reported to', 'NE'), ('Independent Inquiry Committee', 'OIOS', 'created by', 'NE'), ('Alexander Yakovlev', 'OIOS', 'reported to', 'NE'), ('Walter Cabrera', 'Thunderbird LLC', 'provided notification', 'NG'), ('Walter Cabrera', 'TCIL', 'involved in procurement', 'NG'), ('Mr. Bahel', 'Thunderbird LLC', 'notified', 'NG'), ('Mr. Bahel', 'Ms. Jane Redfern', 'met with', 'NE'), ('Mr. Bahel', 'Walter Cabrera', 'met with', 'NE'), ('Mr. Bahel', 'Mr. Kohli', 'instructed', 'NG'), ('Walter Cabrera', 'Mr. Kohli', 'notified', 'NG'), ('Sanjaya Bahel', 'TCIL', 'recommended award', 'NE'), ('DPKO', 'PD', 'communicated with', 'NE'), ('Mr. Bahel', 'ITSD', 'communicated with', 'NE'), ('Mr. Bahel', 'DPKO', 'communicated with', 'NE'), ('Mr. Bahel', 'LaCresta', 'involved in cancellation', 'NG'), ('Mr. Cabrera', 'LaCresta', 'involved in cancellation', 'NG'), ('Nishan Kohli', 'Thunderbird LLC', 'Managing Partner of', 'NE'), ('Sanjaya Bahel', 'Thunderbird LLC', 'presented award', 'NE')]"
89.pdf,"[('EADS', 'ORG'), ('U.S. military', 'ORG'), ('Pernod Ricard', 'ORG'), ('Sarkozy', 'PER'), ('Vimont', 'PER'), ('Levitte', 'PER'), ('U.S. President', 'PER'), ('White House', 'ORG'), ('Iran', 'LOC'), ('Afghanistan', 'LOC'), ('Pakistan', 'LOC'), ('China', 'LOC'), ('Russia', 'LOC'), ('France', 'LOC'), ('Washington', 'LOC'), ('Obama', 'PER'), ('U.S.', 'MISC')]","[('EADS', 'U.S. military', 'contract with', 'NE'), ('Sarkozy', 'Pernod Ricard', 'interceded for', 'NE'), ('Vimont', 'White House', 'suggested appeal to', 'NE'), ('Sarkozy', 'U.S. President', 'meet with', 'NE'), ('Levitte', 'U.S. President', 'talk to', 'NE'), ('Sarkozy', 'U.S. President', 'raise topics with', 'NE'), ('France', 'U.S.', 'spying on', 'NG'), ('Sarkozy', 'Afghanistan', 'authorize trainers for', 'NE'), ('Sarkozy', 'Obama', 'meet with', 'NE')]"
9.pdf,"[('Pristina International Airport', 'LOC'), ('Chartered Accountants', 'ORG'), ('Investigation Task Force', 'ORG'), ('Kosovo Force', 'ORG'), ('United Nations', 'ORG'), ('UNMIK', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('PEAP', 'ORG'), ('KFOR', 'ORG'), ('ICAO', 'ORG')]","[('Pristina International Airport', 'Chartered Accountants', 'audited by', 'NE'), ('Investigation Task Force', 'Pristina International Airport', 'investigated', 'NE'), ('Pristina International Airport', 'Kosovo Force', 'maintained by', 'NE'), ('United Nations', 'UNMIK', 'mandated by', 'NE'), ('Kosovo Trust Agency', 'Pristina International Airport', 'administers', 'NE'), ('PEAP', 'Pristina International Airport', 'maintained', 'NE'), ('KFOR', 'Pristina International Airport', 'jurisdiction over', 'NE'), ('ICAO', 'Pristina International Airport', 'regulation', 'NE')]"
